Sample,Task,Mean Tonic,Max Slope,Num Peaks,Mean Amplitude,Std Amplitude,Total Power,EDASymp Power,subject_id,Mean Tonic_norm,Max Slope_norm,Num Peaks_norm,Mean Amplitude_norm,Std Amplitude_norm,Total Power_norm,EDASymp Power_norm
s1,rest0,2.4521725084161665,0.0328187710833287,11,0.1902487621726075,0.1256145567178552,0.0062909189962443,0.00405991651036,s1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s1,task1,3.489919861751592,0.1722615853128265,12,0.2790232844698717,0.1679484442480941,0.019626096497415,0.0117021706021142,s1,0.3092362253876848,0.9999999282860194,0.4999999975,0.26954149908903585,0.4488972547991437,0.4401988038039973,0.3433770623986423
s1,task2,5.345871375719918,0.0760131435473606,11,0.3268522077979304,0.2199209544261869,0.0285076300145014,0.0212228817076987,s1,0.8622874462243009,0.3097640391515718,0.0,0.4147619898340117,0.9999998939626666,0.7333812852387822,0.7711558004687509
s1,task3,5.80801268833705,0.0621262509891846,13,0.5196025718897705,0.1678022880856995,0.0365844431583869,0.0263160643281526,s1,0.9999999970201203,0.21017560471681973,0.999999995,0.9999999696375163,0.44734745382648194,0.9999996698965545,0.9999995506861479
s10,rest0,0.1473157617164099,0.0032515231360093,21,0.0078689459359627,0.0053484504794184,9.991648048880009e-06,5.786046388019626e-06,s10,0.0,0.0,0.7999999992,0.0,0.0,0.0,0.0
s10,task1,0.2108855031372648,0.0047757901277068,23,0.0153569441643969,0.0086375385116116,6.56475131430773e-05,4.001328932455589e-05,s10,0.41882579042363444,0.1344568179489548,0.9999999989999999,0.3474568183104728,0.28327570463391233,0.4353776642010586,0.44895738726653583
s10,task2,0.202390378171938,0.003734334475489,14,0.0256653593997407,0.0169593480807032,0.0001186517127106,6.42913666045199e-05,s10,0.3628561207533515,0.042589176784454216,0.0999999999,0.8257861461533733,0.9999991387408854,0.8500122146028418,0.7674119634553924
s10,task3,0.299096618306682,0.0145879928694221,13,0.0294198102714988,0.0132299712361506,0.0001378151812558,8.201322146810427e-05,s10,0.9999999341155429,0.9999991178919528,0.0,0.9999995359817033,0.6788031588383386,0.9999217732644234,0.999868830396857
s11,rest0,0.2597202894828339,0.0007427627383067,8,0.0058930584254121,0.0035049352856412,1.7122173032583195e-06,1.0612468539760514e-06,s11,0.0,0.0,0.46153846118343195,0.0,0.0,0.0,0.0
s11,task1,0.3831074805672158,0.0419748474149938,2,0.0909763405913159,0.0755982230652215,0.0022165102198542,0.0016661960842985,s11,0.09126283758455635,0.5734658684353264,0.0,0.4405694462541999,0.4729641504674182,0.3391865864746318,0.3949936177583416
s11,task2,0.5686890595770023,0.0262896797454892,8,0.0989852662496333,0.044638388604598,0.0009164262190174,0.0004430005565215,s11,0.22852750302517738,0.3553127391507443,0.46153846118343195,0.4820404362366474,0.26985381585415696,0.1400844318464361,0.10483427697849429
s11,task3,1.6117184679027576,0.0726425587183676,15,0.1990142076190354,0.1559335770308789,0.0065314356763137,0.0042166505947484,s11,0.9999999926035404,0.9999998609175663,0.9999999992307692,0.9999999482190349,0.999999934395536,0.999998468543921,0.9999976278580637
s12,rest0,0.4071589481015223,0.0056855739093681,11,0.0202585161982874,0.0135757231518602,7.243619534744304e-05,4.772883255311324e-05,s12,0.0,0.0,0.46666666635555554,0.0,0.0,0.0,0.0
s12,task1,0.8788940540747241,0.0156124663383186,19,0.0790168846292425,0.0453117663850727,0.0011420226988101,0.0005999349653779,s12,0.12266097669799939,0.0939114610849433,0.9999999993333333,0.12197227563960725,0.10756554055323551,0.017200142208910613,0.012637826846530215
s12,task2,1.6695205252625598,0.090303136392839,4,0.2772532405923028,0.3086148406455387,0.0060902252826436,0.0033685705861671,s12,0.32824036634109655,0.8005082137380802,0.0,0.5334768850592848,0.9999999661061905,0.09677275073089783,0.07600100863098837
s12,task3,4.253003954766027,0.1113903662228108,16,0.5019939507723401,0.2356730986045205,0.0622571738835702,0.0437424251717524,s12,0.9999999973997913,0.9999999053969189,0.7999999994666667,0.9999999792417185,0.7527726147353758,0.9999998391888626,0.9999997711393247
s13,rest0,0.1137048617635152,0.006469090297123,5,0.0177440089648303,0.015100154570024,3.9280254015802055e-05,1.5056451539171037e-05,s13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s13,task1,0.2535917999234972,0.0236683061012851,12,0.096645814198023,0.0847192859918533,0.0027358193662336,0.0016777432665851,s13,0.04885072236235315,0.0935852695674847,0.3888888886728395,0.16292227350995028,0.21376290925554253,0.03727593894079834,0.044656029602139345
s13,task2,1.7263248859994378,0.1902503087281602,8,0.2929538959348839,0.2233412672745484,0.0152801142602502,0.0085877188832086,s13,0.5631523151205585,0.9999999455874787,0.16666666657407406,0.5682736959574031,0.6393964585483592,0.21068353700087178,0.23024243883668677
s13,task3,2.9772641072922723,0.1625929978452044,23,0.5020350877972842,0.3407840139760266,0.0723792082633693,0.0372482449660411,s13,0.9999999965078425,0.8495095439340039,0.9999999994444444,0.9999999793512616,0.9999999692953784,0.9999998617637743,0.9999997314224831
s14,rest0,0.685817598902774,0.0305240703084174,3,0.10378179179244,0.0877371490799271,0.0005676988007952,0.0003857946525909,s14,0.4106252744598768,0.0,0.0,0.5189881370061237,0.9999998475841948,0.06831837791801477,0.06933458991334591
s14,task1,1.1523817491193211,0.050756806982778,6,0.1653226007318509,0.0661486267535445,0.00625474798405,0.0044606636257929,s14,0.9201706510959587,0.43246778698202676,0.16666666657407406,0.9999999218385665,0.6709566461560026,0.9999983617514921,0.9999977160906711
s14,task2,0.3098294317632699,0.0503344648864497,13,0.0373822756299818,0.0221271655207868,0.0001506779544942,8.221609525828096e-05,s14,0.0,0.423440369945561,0.5555555552469136,0.0,0.0,0.0,0.0
s14,task3,1.2254773141977209,0.0773084388989122,21,0.0686246833519577,0.0524624717266466,0.0025631826862585,0.0012369286879083,s14,0.9999999890787713,0.9999997862534397,0.9999999994444444,0.24419513749983512,0.4623580122518349,0.3952282276908254,0.2637258862504088
s15,rest0,0.0818251003528866,0.0003428286289563,83,0.0038324964658668,0.0009522890581583,8.73015382475295e-07,4.421273126586543e-07,s15,0.0,0.0,0.9999999998666668,0.0,0.0,0.0,0.0
s15,task1,0.1347569132827475,0.0103790713197095,8,0.0124761975714097,0.0101515224794029,1.2776460730285105e-05,5.381641279076395e-06,s15,0.07869374497435846,0.41932772854831196,0.0,0.17791698258144256,0.2566933384931582,0.007891115986956297,0.0053032175702891204
