Sample,Task,Mean Tonic,Max Slope,Num Peaks,Mean Amplitude,Std Amplitude,Total Power,EDASymp Power,subject_id,Mean Tonic_norm,Max Slope_norm
s1,rest0,2.4521725084161665,0.0328187710833287,11,0.1902487621726075,0.1256145567178552,0.0113336646039813,0.0052805511560487,s1,0.0,0.0
s1,task1,3.489919861751592,0.1722615853128265,12,0.2790232844698717,0.1679484442480941,0.0393554822511136,0.0192241167251508,s1,0.3092362253876848,0.9999999282860194
s1,task2,5.345871375719918,0.0760131435473606,11,0.3268522077979304,0.2199209544261869,0.0551844694719829,0.0228487237347069,s1,0.8622874462243009,0.3097640391515718
s1,task3,5.80801268833705,0.0621262509891846,13,0.5196025718897705,0.1678022880856995,0.0852752727372287,0.0337938608032756,s1,0.9999999970201203,0.21017560471681973
s10,rest0,0.1473157617164099,0.0032515231360093,21,0.0078689459359627,0.0053484504794184,5.382454538855812e-05,1.0598490673641167e-05,s10,0.0,0.0
s10,task1,0.2108855031372648,0.0047757901277068,23,0.0153569441643969,0.0086375385116116,0.0001360990558295,5.0874484978209584e-05,s10,0.41882579042363444,0.1344568179489548
s10,task2,0.202390378171938,0.003734334475489,14,0.0256653593997407,0.0169593480807032,0.0001405551671309,6.223467363327881e-05,s10,0.3628561207533515,0.042589176784454216
s10,task3,0.299096618306682,0.0145879928694221,13,0.0294198102714988,0.0132299712361506,0.0001797631603626,6.702462913468288e-05,s10,0.9999999341155429,0.9999991178919528
s11,rest0,0.2597202894828339,0.0007427627383067,8,0.0058930584254121,0.0035049352856412,5.299660169486216e-06,1.5004052225396158e-06,s11,0.0,0.0
s11,task1,0.3831074805672158,0.0419748474149938,2,0.0909763405913159,0.0755982230652215,0.002504124651396,0.0013564049562307,s11,0.09126283758455635,0.5734658684353264
s11,task2,0.5686890595770023,0.0262896797454892,8,0.0989852662496333,0.044638388604598,0.0011961926289923,0.0003657290114697,s11,0.22852750302517738,0.3553127391507443
s11,task3,1.6117184679027576,0.0726425587183676,15,0.1990142076190354,0.1559335770308789,0.0082322593837309,0.0042382523603369,s11,0.9999999926035404,0.9999998609175663
s12,rest0,0.4071589481015223,0.0056855739093681,11,0.0202585161982874,0.0135757231518602,0.0002017340210862,6.09121662013666e-05,s12,0.0,0.0
s12,task1,0.8788940540747241,0.0156124663383186,19,0.0790168846292425,0.0453117663850727,0.0026998951258277,0.0008221321278421,s12,0.12266097669799939,0.0939114610849433
s12,task2,1.6695205252625598,0.090303136392839,4,0.2772532405923028,0.3086148406455387,0.02004726959791,0.0047047014875793,s12,0.32824036634109655,0.8005082137380802
s12,task3,4.253003954766027,0.1113903662228108,16,0.5019939507723401,0.2356730986045205,0.2097624298124219,0.0817676282760463,s12,0.9999999973997913,0.9999999053969189
s13,rest0,0.1137048617635152,0.006469090297123,5,0.0177440089648303,0.015100154570024,0.0001225461409515,2.424492173864509e-05,s13,0.0,0.0
s13,task1,0.2535917999234972,0.0236683061012851,12,0.096645814198023,0.0847192859918533,0.0031246933995191,0.0016448158590952,s13,0.04885072236235315,0.0935852695674847
s13,task2,1.7263248859994378,0.1902503087281602,8,0.2929538959348839,0.2233412672745484,0.0322719883385948,0.0126821529234001,s13,0.5631523151205585,0.9999999455874787
s13,task3,2.9772641072922723,0.1625929978452044,23,0.5020350877972842,0.3407840139760266,0.1054251697081472,0.0363417475359496,s13,0.9999999965078425,0.8495095439340039
s14,rest0,0.685817598902774,0.0305240703084174,3,0.10378179179244,0.0877371490799271,0.0024865460297497,0.0006475964452681,s14,0.4106252744598768,0.0
s14,task1,1.1523817491193211,0.050756806982778,6,0.1653226007318509,0.0661486267535445,0.012339223000379,0.0041503739932686,s14,0.9201706510959587,0.43246778698202676
s14,task2,0.3098294317632699,0.0503344648864497,13,0.0373822756299818,0.0221271655207868,0.0005414298166579,0.0001277572423324,s14,0.0,0.423440369945561
s14,task3,1.2254773141977209,0.0773084388989122,21,0.0686246833519577,0.0524624717266466,0.011020615579726,0.0021971202340501,s14,0.9999999890787713,0.9999997862534397
s15,rest0,0.0818251003528866,0.0003428286289563,83,0.0038324964658668,0.0009522890581583,1.463655800139686e-06,4.836031019494315e-07,s15,0.0,0.0
s15,task1,0.1347569132827475,0.0103790713197095,8,0.0124761975714097,0.0101515224794029,7.073087640886136e-05,1.402370193173758e-05,s15,0.07869374497435846,0.41932772854831196
s15,task2,0.4952593955887573,0.0095365034862435,21,0.0318573871703718,0.0178096695247544,0.0006043800963212,0.000159215978875,s15,0.6146529127210595,0.3841241103575431
s15,task3,0.7544555890933922,0.0242769446298723,12,0.0524152635573465,0.0367897241404731,0.0020857367430971,0.0008394982011909,s15,0.9999999851329964,0.9999995821865398
s16,rest0,0.0909490787308358,0.0029216323335655,4,0.0040066130443554,0.0019124137237016,3.6097290494185215e-05,7.938996622799007e-06,s16,0.6119139904680967,0.0
s16,task1,0.0562440763668684,0.0143938776549299,11,0.0401194034750977,0.0319356636752338,0.0008140046217941,0.0002825200467991,s16,0.0,0.9470985636780991
s16,task2,0.0814359846340252,0.0150346650107832,13,0.0352644500780135,0.0297520810891859,0.0002465924124365,8.145808755045525e-05,s16,0.4441803793469014,0.9999991744435922
s16,task3,0.1129595572766596,0.0066530041175559,10,0.032817479383579,0.0275985122303734,0.0002232461025251,7.898385966010935e-05,s16,0.9999998236813287,0.30804578861167486
s17,rest0,0.866012553079537,0.0236792976159949,9,0.0554537319609777,0.0557033246086764,0.0023939240602134,0.0008039912145526,s17,0.0,0.3837274826421266
s17,task1,1.2191391393139692,0.0189868843657458,12,0.2032706772109366,0.183837021837045,0.0058715790283983,0.0023237777238691,s17,0.7047077123171683,0.2387448136531986
s17,task2,0.9204821392402686,0.0112598275055905,11,0.06524918488507,0.0557853754136457,0.0011367563942434,0.0004386274533779,s17,0.10870078592357554,0.0
s17,task3,1.3671090687203693,0.0436251566386937,12,0.097007641282318,0.071470097025355,0.0050144456216569,0.0019886640761634,s17,0.9999999800437649,0.9999996910274921
s18,rest0,0.3739950593159905,0.0153554196491163,5,0.0934623352408792,0.0242886069126024,0.0014742958838183,0.0004525968170951,s18,0.0,0.0
s18,task1,0.688538697800076,0.0309346221462485,6,0.1545357024488449,0.1235006841377576,0.0057372049576016,0.0025913111541653,s18,0.40173098909232363,0.2071141286272866
s18,task2,0.5784801577865111,0.0290709540424619,20,0.0381952424478145,0.0235035822833466,0.0004058667480065,0.0001325410833374,s18,0.26116567246156447,0.18233802115726158
s18,task3,1.1569658606909596,0.0905757850063564,6,0.1311920613502991,0.1029046102959705,0.0115068002348071,0.0035137621825524,s18,0.9999999872281318,0.9999998670572974
s19,rest0,0.4152567720124516,0.0061728214286365,12,0.0074986826986642,0.0046681751420329,3.728029540081858e-05,5.96575695557452e-06,s19,0.0,0.008661936083071127
s19,task1,0.435955419165451,0.0057077151720961,15,0.0197889649194472,0.0134427257288729,0.0001637242146198,4.5855482669896144e-05,s19,0.010878626778926039,0.0
s19,task2,0.8892793248001417,0.0340881968146081,18,0.0476974054834581,0.0262624251300471,0.001577174306411,0.0004116992551244,s19,0.24913292151191616,0.5285457130221579
s19,task3,2.317946097131164,0.0594031206173108,8,0.2498967946920031,0.1403883343652867,0.0196897010538649,0.0083951739413431,s19,0.9999999947442813,0.9999998137643611
