hidden,beta,epochs,lr,encoding,T,max_spikes,n_pop,sigma,weight_decay,accuracy,balanced_accuracy,macro_f1,weighted_f1,n_predictions,n_subjects,method,config_id,feature_group,n_features,input_channels
64,0.9,50,0.005,population,30,10,3,0.25,0.0001,0.6120689655172413,0.6120689655172413,0.5922348975887995,0.5922348975887995,116,29,snnTorch,279,tonic,2,6
64,0.85,200,0.005,population,30,4,3,0.25,0.0001,0.6120689655172413,0.6120689655172413,0.5891246674598459,0.5891246674598458,116,29,snnTorch,268,tonic,2,6
32,0.95,200,0.005,population,30,6,3,0.25,0.0001,0.603448275862069,0.603448275862069,0.5951792772444946,0.5951792772444946,116,29,snnTorch,242,tonic,2,6
64,0.95,200,0.001,population,30,10,3,0.25,0.0001,0.603448275862069,0.603448275862069,0.5950231996266095,0.5950231996266095,116,29,snnTorch,321,tonic,2,6
64,0.85,100,0.001,population,30,10,3,0.25,0.0001,0.603448275862069,0.603448275862069,0.5949951075075206,0.5949951075075206,116,29,snnTorch,258,tonic,2,6
64,0.85,50,0.005,population,30,10,3,0.25,0.0001,0.603448275862069,0.603448275862069,0.5932011790687506,0.5932011790687506,116,29,snnTorch,252,tonic,2,6
64,0.95,200,0.005,population,30,6,3,0.25,0.0001,0.603448275862069,0.603448275862069,0.5927919121101515,0.5927919121101514,116,29,snnTorch,323,tonic,2,6
64,0.85,200,0.0005,population,30,10,3,0.25,0.0001,0.603448275862069,0.603448275862069,0.5900879917184265,0.5900879917184265,116,29,snnTorch,264,tonic,2,6
8,0.9,200,0.005,population,30,6,3,0.25,0.0001,0.603448275862069,0.603448275862069,0.589436986263711,0.5894369862637111,116,29,snnTorch,53,tonic,2,6
32,0.85,100,0.005,population,30,6,3,0.25,0.0001,0.603448275862069,0.603448275862069,0.5891233766233767,0.5891233766233767,116,29,snnTorch,179,tonic,2,6
32,0.95,200,0.005,population,30,10,3,0.25,0.0001,0.603448275862069,0.603448275862069,0.5890188834154352,0.5890188834154352,116,29,snnTorch,243,tonic,2,6
64,0.85,200,0.001,population,30,6,3,0.25,0.0001,0.603448275862069,0.603448275862069,0.5885114138266134,0.5885114138266134,116,29,snnTorch,266,tonic,2,6
32,0.85,200,0.001,population,30,6,3,0.25,0.0001,0.603448275862069,0.603448275862069,0.5883110740548093,0.5883110740548093,116,29,snnTorch,185,tonic,2,6
64,0.9,200,0.001,population,30,4,3,0.25,0.0001,0.603448275862069,0.603448275862069,0.5874596448748992,0.5874596448748991,116,29,snnTorch,292,tonic,2,6
32,0.85,100,0.005,population,30,10,3,0.25,0.0001,0.603448275862069,0.603448275862069,0.5861857079311275,0.5861857079311273,116,29,snnTorch,180,tonic,2,6
16,0.85,200,0.005,population,30,4,3,0.25,0.0001,0.603448275862069,0.603448275862069,0.5797980703839054,0.5797980703839054,116,29,snnTorch,106,tonic,2,6
64,0.9,100,0.005,population,30,4,3,0.25,0.0001,0.603448275862069,0.603448275862069,0.5763546893842144,0.5763546893842144,116,29,snnTorch,286,tonic,2,6
64,0.85,50,0.005,population,30,4,3,0.25,0.0001,0.5948275862068966,0.5948275862068966,0.5879922391491808,0.5879922391491808,116,29,snnTorch,250,tonic,2,6
64,0.95,200,0.001,population,30,6,3,0.25,0.0001,0.5948275862068966,0.5948275862068966,0.586165577342048,0.586165577342048,116,29,snnTorch,320,tonic,2,6
64,0.9,200,0.0005,population,30,4,3,0.25,0.0001,0.5948275862068966,0.5948275862068966,0.5856221293256966,0.5856221293256967,116,29,snnTorch,289,tonic,2,6
32,0.85,200,0.001,population,30,4,3,0.25,0.0001,0.5948275862068966,0.5948275862068966,0.5836536443301674,0.5836536443301674,116,29,snnTorch,184,tonic,2,6
32,0.85,50,0.005,population,30,6,3,0.25,0.0001,0.5948275862068966,0.5948275862068966,0.5827569758234954,0.5827569758234954,116,29,snnTorch,170,tonic,2,6
16,0.9,200,0.005,population,30,4,3,0.25,0.0001,0.5948275862068966,0.5948275862068966,0.581359649122807,0.581359649122807,116,29,snnTorch,133,tonic,2,6
32,0.85,200,0.005,population,30,6,3,0.25,0.0001,0.5948275862068966,0.5948275862068966,0.5807342683610432,0.5807342683610431,116,29,snnTorch,188,tonic,2,6
32,0.9,100,0.005,population,30,10,3,0.25,0.0001,0.5948275862068966,0.5948275862068966,0.5794239305891848,0.5794239305891848,116,29,snnTorch,207,tonic,2,6
