hidden,beta,epochs,lr,encoding,T,max_spikes,n_pop,sigma,weight_decay,accuracy,balanced_accuracy,macro_f1,weighted_f1,n_predictions,n_subjects,method,config_id,feature_group,n_features,input_channels
8,0.85,100,0.005,population,30,4,3,0.25,0.0001,0.4827586206896552,0.4827586206896552,0.45347425419567483,0.45347425419567483,116,29,snnTorch,16,tonic,2,6
16,0.85,50,0.005,population,30,4,3,0.25,0.0001,0.4827586206896552,0.48275862068965514,0.45665918586440557,0.45665918586440557,116,29,snnTorch,88,tonic,2,6
8,0.9,200,0.001,population,30,10,3,0.25,0.0001,0.47413793103448276,0.47413793103448276,0.45293429350678405,0.45293429350678405,116,29,snnTorch,51,tonic,2,6
16,0.9,50,0.005,population,30,10,3,0.25,0.0001,0.47413793103448276,0.47413793103448276,0.45197500607447205,0.45197500607447205,116,29,snnTorch,117,tonic,2,6
8,0.85,200,0.001,population,30,10,3,0.25,0.0001,0.47413793103448276,0.47413793103448276,0.43959813771134526,0.4395981377113452,116,29,snnTorch,24,tonic,2,6
8,0.95,100,0.005,population,30,4,3,0.25,0.0001,0.47413793103448276,0.47413793103448276,0.4260886079383597,0.4260886079383597,116,29,snnTorch,70,tonic,2,6
8,0.9,200,0.001,population,30,6,3,0.25,0.0001,0.45689655172413796,0.45689655172413796,0.4320858662613982,0.43208586626139817,116,29,snnTorch,50,tonic,2,6
8,0.95,200,0.001,population,30,10,3,0.25,0.0001,0.45689655172413796,0.4568965517241379,0.42682599355531686,0.4268259935553168,116,29,snnTorch,78,tonic,2,6
16,0.85,200,0.0005,population,30,10,3,0.25,0.0001,0.4482758620689655,0.4482758620689656,0.4276643180254738,0.4276643180254737,116,29,snnTorch,102,tonic,2,6
16,0.9,50,0.005,population,30,6,3,0.25,0.0001,0.4482758620689655,0.4482758620689655,0.43686003936807105,0.43686003936807105,116,29,snnTorch,116,tonic,2,6
8,0.95,200,0.001,population,30,6,3,0.25,0.0001,0.4482758620689655,0.4482758620689655,0.42212937284883545,0.42212937284883545,116,29,snnTorch,77,tonic,2,6
8,0.85,50,0.005,population,30,10,3,0.25,0.0001,0.4482758620689655,0.4482758620689655,0.3856859128954462,0.3856859128954462,116,29,snnTorch,9,tonic,2,6
8,0.95,50,0.005,population,30,6,3,0.25,0.0001,0.4396551724137931,0.43965517241379315,0.36886548057455326,0.36886548057455326,116,29,snnTorch,62,tonic,2,6
8,0.85,200,0.001,population,30,6,3,0.25,0.0001,0.4396551724137931,0.4396551724137931,0.4151591543257006,0.41515915432570055,116,29,snnTorch,23,tonic,2,6
16,0.9,100,0.001,population,30,6,3,0.25,0.0001,0.43103448275862066,0.4310344827586207,0.3958056833745268,0.39580568337452676,116,29,snnTorch,122,tonic,2,6
8,0.85,200,0.0005,population,30,10,3,0.25,0.0001,0.43103448275862066,0.43103448275862066,0.4034993677497388,0.4034993677497388,116,29,snnTorch,21,tonic,2,6
16,0.9,50,0.005,population,30,4,3,0.25,0.0001,0.4224137931034483,0.4224137931034483,0.40179035250463824,0.40179035250463824,116,29,snnTorch,115,tonic,2,6
16,0.9,100,0.001,population,30,10,3,0.25,0.0001,0.41379310344827586,0.4137931034482759,0.38399064171123,0.38399064171123,116,29,snnTorch,123,tonic,2,6
8,0.85,200,0.001,population,30,4,3,0.25,0.0001,0.41379310344827586,0.4137931034482759,0.3665454941350798,0.3665454941350798,116,29,snnTorch,22,tonic,2,6
8,0.9,50,0.005,population,30,10,3,0.25,0.0001,0.41379310344827586,0.4137931034482758,0.36216776348355295,0.362167763483553,116,29,snnTorch,36,tonic,2,6
