model,accuracy,balanced_accuracy,macro_f1,weighted_f1
LogisticRegression,0.603448275862069,0.603448275862069,0.576961586598633,0.576961586598633
LinearSVM,0.5689655172413793,0.5689655172413793,0.5446127946127945,0.5446127946127947
RBFSVM,0.5862068965517241,0.5862068965517241,0.5671911421911422,0.5671911421911422
