feature_set,encoding,T,max_spikes,epochs,lr,accuracy,balanced_accuracy,macro_f1,weighted_f1,n_predictions,method,config_id,n_features,n_subjects
all_7_norm,population,30,6,100,0.001,0.5689655172413793,0.5689655172413793,0.5570073629039881,0.5570073629039882,116,snntorch,1,7,29
all_7_norm,rate,30,15,100,0.001,0.5086206896551724,0.5086206896551724,0.47499950937101365,0.4749995093710137,116,snntorch,3,7,29
all_7_plus_symp_ratio,population,30,6,100,0.001,0.49137931034482757,0.49137931034482757,0.4761588328752508,0.47615883287525074,116,snntorch,2,8,29
