model,accuracy,balanced_accuracy,macro_f1,weighted_f1
LogisticRegression,0.603448275862069,0.603448275862069,0.5794241472812902,0.5794241472812902
LinearSVM,0.5517241379310345,0.5517241379310345,0.5279889081732401,0.52798890817324
RBFSVM,0.5948275862068966,0.5948275862068966,0.5702109924374179,0.5702109924374179
