model,accuracy,balanced_accuracy,macro_f1,weighted_f1
LogisticRegression,0.5948275862068966,0.5948275862068966,0.5553908651734739,0.5553908651734739
LinearSVM,0.5862068965517241,0.5862068965517242,0.5538722241058086,0.5538722241058086
RBFSVM,0.603448275862069,0.603448275862069,0.5709731601519585,0.5709731601519586
