feature_set,encoding,T,max_spikes,epochs,lr,accuracy,balanced_accuracy,macro_f1,weighted_f1,n_predictions,method,config_id,n_features,n_subjects
all_7_norm,population,30,6,100,0.001,0.5862068965517241,0.5862068965517242,0.5748539475576608,0.574853947557661,116,snntorch,1,7,29
all_7_plus_symp_ratio,population,30,6,100,0.001,0.5344827586206896,0.5344827586206897,0.5135516963416428,0.5135516963416428,116,snntorch,2,8,29
all_7_norm,rate,30,15,100,0.001,0.5344827586206896,0.5344827586206897,0.5069411459374342,0.5069411459374342,116,snntorch,3,7,29
