feature_set,encoding,T,max_spikes,epochs,lr,accuracy,balanced_accuracy,macro_f1,weighted_f1,n_predictions,method,config_id,n_features,n_subjects
all_7_norm,population,50,6,400,0.05,0.6944444444444444,0.6944444444444444,0.6909184726522187,0.6909184726522187,36,delta,13,7,9
all_7_norm,population,75,6,400,0.05,0.6944444444444444,0.6944444444444444,0.6909184726522187,0.6909184726522187,36,delta,16,7,9
all_7_norm,population,30,6,400,0.05,0.6944444444444444,0.6944444444444444,0.6909184726522187,0.6909184726522187,36,delta,10,7,9
all_7_plus_symp_ratio,population,30,6,400,0.05,0.6666666666666666,0.6666666666666666,0.6615067079463365,0.6615067079463365,36,delta,28,8,9
all_7_plus_symp_ratio,population,50,6,400,0.05,0.6666666666666666,0.6666666666666666,0.6615067079463365,0.6615067079463365,36,delta,31,8,9
all_7_plus_symp_ratio,population,50,15,400,0.05,0.6666666666666666,0.6666666666666666,0.6594427244582044,0.6594427244582044,36,delta,33,8,9
all_7_plus_symp_ratio,population,75,6,400,0.05,0.6666666666666666,0.6666666666666666,0.6615067079463365,0.6615067079463365,36,delta,34,8,9
all_7_plus_symp_ratio,population,75,15,400,0.05,0.6666666666666666,0.6666666666666666,0.6594427244582044,0.6594427244582044,36,delta,36,8,9
all_7_norm,population,75,15,400,0.05,0.6666666666666666,0.6666666666666666,0.6594427244582044,0.6594427244582044,36,delta,18,7,9
all_7_norm,population,75,10,400,0.05,0.6666666666666666,0.6666666666666666,0.6594427244582044,0.6594427244582044,36,delta,17,7,9
all_7_norm,population,50,15,400,0.05,0.6666666666666666,0.6666666666666666,0.6594427244582044,0.6594427244582044,36,delta,15,7,9
all_7_norm,population,50,10,400,0.05,0.6666666666666666,0.6666666666666666,0.6594427244582044,0.6594427244582044,36,delta,14,7,9
all_7_norm,population,30,15,400,0.05,0.6666666666666666,0.6666666666666666,0.6594427244582044,0.6594427244582044,36,delta,12,7,9
all_7_norm,population,30,10,400,0.05,0.6666666666666666,0.6666666666666666,0.6594427244582044,0.6594427244582044,36,delta,11,7,9
all_7_plus_symp_ratio,population,30,15,400,0.05,0.6666666666666666,0.6666666666666666,0.6594427244582044,0.6594427244582044,36,delta,30,8,9
all_7_plus_symp_ratio,population,30,10,400,0.05,0.6388888888888888,0.6388888888888888,0.627375730994152,0.627375730994152,36,delta,29,8,9
all_7_plus_symp_ratio,population,75,10,400,0.05,0.6388888888888888,0.6388888888888888,0.627375730994152,0.627375730994152,36,delta,35,8,9
all_7_plus_symp_ratio,population,50,10,400,0.05,0.6388888888888888,0.6388888888888888,0.627375730994152,0.627375730994152,36,delta,32,8,9
no_count_plus_symp_ratio,population,30,10,400,0.05,0.6111111111111112,0.6111111111111112,0.5929824561403508,0.5929824561403508,36,delta,47,7,9
no_count_plus_symp_ratio,population,30,15,400,0.05,0.6111111111111112,0.6111111111111112,0.5929824561403508,0.5929824561403508,36,delta,48,7,9
no_count_plus_symp_ratio,population,50,6,400,0.05,0.6111111111111112,0.6111111111111112,0.5929824561403508,0.5929824561403508,36,delta,49,7,9
no_count_plus_symp_ratio,population,30,6,400,0.05,0.6111111111111112,0.6111111111111112,0.5929824561403508,0.5929824561403508,36,delta,46,7,9
no_count_plus_symp_ratio,population,50,10,400,0.05,0.6111111111111112,0.6111111111111112,0.5929824561403508,0.5929824561403508,36,delta,50,7,9
no_count_plus_symp_ratio,population,50,15,400,0.05,0.6111111111111112,0.6111111111111112,0.5929824561403508,0.5929824561403508,36,delta,51,7,9
no_count_plus_symp_ratio,population,75,6,400,0.05,0.6111111111111112,0.6111111111111112,0.5929824561403508,0.5929824561403508,36,delta,52,7,9
no_count_plus_symp_ratio,population,75,10,400,0.05,0.6111111111111112,0.6111111111111112,0.5929824561403508,0.5929824561403508,36,delta,53,7,9
no_count_plus_symp_ratio,population,75,15,400,0.05,0.6111111111111112,0.6111111111111112,0.5929824561403508,0.5929824561403508,36,delta,54,7,9
all_7_norm,rate,30,15,400,0.05,0.6111111111111112,0.611111111111111,0.577922077922078,0.577922077922078,36,delta,2,7,9
all_7_norm,rate,50,15,400,0.05,0.6111111111111112,0.611111111111111,0.577922077922078,0.577922077922078,36,delta,5,7,9
all_7_norm,rate,75,15,400,0.05,0.6111111111111112,0.611111111111111,0.577922077922078,0.577922077922078,36,delta,8,7,9
all_7_norm,rate,75,20,400,0.05,0.5833333333333334,0.5833333333333333,0.5316080977845683,0.5316080977845684,36,delta,9,7,9
all_7_norm,rate,30,20,400,0.05,0.5833333333333334,0.5833333333333333,0.5316080977845683,0.5316080977845684,36,delta,3,7,9
all_7_norm,rate,50,10,400,0.05,0.5833333333333334,0.5833333333333333,0.5316080977845683,0.5316080977845684,36,delta,4,7,9
all_7_norm,rate,50,20,400,0.05,0.5833333333333334,0.5833333333333333,0.5316080977845683,0.5316080977845684,36,delta,6,7,9
all_7_norm,rate,75,10,400,0.05,0.5833333333333334,0.5833333333333333,0.5316080977845683,0.5316080977845684,36,delta,7,7,9
all_7_norm,rate,30,10,400,0.05,0.5833333333333334,0.5833333333333333,0.5316080977845683,0.5316080977845684,36,delta,1,7,9
no_count_plus_symp_ratio,rate,30,10,400,0.05,0.5555555555555556,0.5555555555555556,0.4863095238095238,0.48630952380952386,36,delta,37,7,9
no_count_plus_symp_ratio,rate,50,10,400,0.05,0.5555555555555556,0.5555555555555556,0.4863095238095238,0.48630952380952386,36,delta,40,7,9
no_count_plus_symp_ratio,rate,75,10,400,0.05,0.5555555555555556,0.5555555555555556,0.4863095238095238,0.48630952380952386,36,delta,43,7,9
no_count_plus_symp_ratio,rate,75,20,400,0.05,0.5277777777777778,0.5277777777777778,0.46855590062111796,0.468555900621118,36,delta,45,7,9
all_7_plus_symp_ratio,rate,75,15,400,0.05,0.5277777777777778,0.5277777777777778,0.48003246753246753,0.48003246753246753,36,delta,26,8,9
all_7_plus_symp_ratio,rate,50,15,400,0.05,0.5277777777777778,0.5277777777777778,0.48003246753246753,0.48003246753246753,36,delta,23,8,9
all_7_plus_symp_ratio,rate,30,15,400,0.05,0.5277777777777778,0.5277777777777778,0.48003246753246753,0.48003246753246753,36,delta,20,8,9
no_count_plus_symp_ratio,rate,30,15,400,0.05,0.5277777777777778,0.5277777777777778,0.46855590062111796,0.468555900621118,36,delta,38,7,9
no_count_plus_symp_ratio,rate,50,15,400,0.05,0.5277777777777778,0.5277777777777778,0.46855590062111796,0.468555900621118,36,delta,41,7,9
no_count_plus_symp_ratio,rate,75,15,400,0.05,0.5277777777777778,0.5277777777777778,0.46855590062111796,0.468555900621118,36,delta,44,7,9
no_count_plus_symp_ratio,rate,50,20,400,0.05,0.5277777777777778,0.5277777777777778,0.46855590062111796,0.468555900621118,36,delta,42,7,9
no_count_plus_symp_ratio,rate,30,20,400,0.05,0.5277777777777778,0.5277777777777778,0.46855590062111796,0.468555900621118,36,delta,39,7,9
all_7_plus_symp_ratio,rate,30,20,400,0.05,0.5277777777777778,0.5277777777777777,0.4738095238095238,0.4738095238095238,36,delta,21,8,9
all_7_plus_symp_ratio,rate,75,20,400,0.05,0.5277777777777778,0.5277777777777777,0.4738095238095238,0.4738095238095238,36,delta,27,8,9
all_7_plus_symp_ratio,rate,50,20,400,0.05,0.5277777777777778,0.5277777777777777,0.4738095238095238,0.4738095238095238,36,delta,24,8,9
all_7_plus_symp_ratio,rate,50,10,400,0.05,0.5,0.5,0.44064171122994655,0.44064171122994655,36,delta,22,8,9
all_7_plus_symp_ratio,rate,75,10,400,0.05,0.5,0.5,0.44064171122994655,0.44064171122994655,36,delta,25,8,9
all_7_plus_symp_ratio,rate,30,10,400,0.05,0.5,0.5,0.44064171122994655,0.44064171122994655,36,delta,19,8,9
