feature_set,encoding,T,max_spikes,epochs,lr,accuracy,balanced_accuracy,macro_f1,weighted_f1,n_predictions,method,config_id,n_features,n_subjects
all_7_norm,population,30,6,100,0.001,0.5833333333333334,0.5833333333333334,0.5680340557275542,0.5680340557275542,36,snntorch,1,7,9
all_7_plus_symp_ratio,population,30,6,100,0.001,0.5833333333333334,0.5833333333333333,0.5851586687306501,0.5851586687306501,36,snntorch,2,8,9
all_7_norm,rate,30,15,100,0.001,0.4722222222222222,0.4722222222222222,0.46239973262032086,0.4623997326203209,36,snntorch,3,7,9
