model,accuracy,balanced_accuracy,macro_f1,weighted_f1
LogisticRegression,0.5555555555555556,0.5555555555555556,0.5256925736801898,0.5256925736801897
LinearSVM,0.4444444444444444,0.4444444444444445,0.41296791443850267,0.41296791443850267
RBFSVM,0.5833333333333334,0.5833333333333334,0.5743034055727554,0.5743034055727554
